43,Northrop Grumman Corporation,4768 Science,Bellevue,98047,Washington,360 554 3842
44,Blockbuster ,8895 Ohare Airport,Phoenix,85757,Arizona,717 217 6890
45,H&r Block,2122 Esmond,West Valley City,84039,Utah,254 257 3592
46,Johnson And Johnson,8012 Kenwood,Fayetteville,72724,North Carolina,309 991 9419
47,Abbott Laboratories,8441 Eisenhower California Av,Chandler,85253,Arizona,651 376 7143
48,Service Corporation International,3965 Raven,Naperville,60467,Illinois,351 807 5240
49,First American Financial Corporation,8688 Huron,Cleveland,44227,Ohio,850 315 1477
50,Amerco,27 Ancona,Stamford,6909,Connecticut,423 868 9818
51,Cbs Corporation,2887 Mccormick,Clarksville,37059,Tennessee,386 360 0358
52,Juniper Networks,9778 College,Columbus,43456,Ohio,651 262 0190
53,Vectren Corporation,12 Indiana,Overland Park,66241,Kansas,360 580 1401
54,Expeditors International Of Washington,7536 11th,Miami,33736,Florida,808 336 9494
55,Bank Of America,6770 84th,Santa Ana,92668,California,612 545 2116
56,Reliant Energy Retail Holdings ,8283 Mccormick Pl Busway,Chattanooga,37687,Tennessee,954 952 7913
57,Old Republic International Corporation,2487 St Paul,Louisville,40286,Kentucky,909 326 4761
58,Public Service Enterprise Grouporporated,3703 Avenue O,Cincinnati,45239,Ohio,317 694 2324
59,Allegheny Energy,96 Stetson Sub,Garland,75692,Texas,475 707 0060
60,Netflix,4819 Park Shore East,Allentown,18123,Pennsylvania,601 854 8677
61,True Value Company,6348 West Circle,Plano,75344,Texas,973 625 3290
62,Citigrouporporated,8060 Hermitage,Cedar Rapids,52221,Iowa,316 475 6930
63,Autozone,8148 Peoria,Allentown,18192,Pennsylvania,309 672 3212
64,Cvs Caremark Corporation,7492 Onarga,Surprise,85318,Arizona,208 392 0132
65,The Shaw Group,7580 Louise,Des Moines,50354,Iowa,409 725 2645
66,Capital One Financial Corporation,6077 Erie,Thornton,80237,Colorado,951 525 0772
67,Cf Industries Holdings,4892 Morgan,Riverside,92590,California,313 601 2712
68,Lear Corporation,4849 Avondale,Sioux Falls,57036,South Dakota,779 750 2605
69,Ashland,1405 Monon,Anaheim,92835,California,562 460 6750
70,Xerox,1301 16th,Salt Lake City,84044,Utah,432 388 6469
71,State Street Global Advisors,4513 Chicora,Kansas City,66017,Kansas,707 776 5581
72,Terex Corporation,4458 Shelby,Aurora,60538,Illinois,229 177 9884
73,Aeropostale,1964 Irving Park,Toledo,43294,Ohio,218 209 4176
74,Cardinal Health,3382 Cityfront Plaza,Wichita,67395,Kansas,434 635 3562
75,Agilent Technologies,9391 Lowerlevelt1,Hollywood,33008,Florida,513 737 0620
76,Dex One Corporation,2648 Baldwin,Provo,84067,Utah,818 397 7361
77,Citigrouporporated,4952 Cottage,Long Beach,90724,California,475 772 1268
78,The Pnc Financial Services Group,7276 Lowell,Gilbert,85213,Arizona,319 576 1729
79,At&t,5747 Hermitage,Minneapolis,55003,Minnesota,860 356 2416
80,Oil States International,7259 Windsor,Detroit,48809,Michigan,605 288 9099
81,Illinois Tool Works,6753 Dan Ryan 71st St,San Antonio,78156,Texas,605 957 3348
82,Advanced Micro Devices,7224 Kewanee,Warren,48088,Michigan,520 595 9816
83,Curtiss-wright Corporation,1818 123rd,Norfolk,23561,Virginia,513 672 6675
84,The Kroger Co,6454 Algonquin,Lansing,48810,Michigan,321 682 7295
85,Edison International,9891 Massasoit,Grand Rapids,49569,Michigan,612 753 1540
86,The Estee Lauder Companies,6379 Bensley,Yonkers,10728,New York,612 568 6964
87,Forest Laboratories,258 Blue Island,Fremont,94556,California,303 910 8600
88,Chemtura Corp,5752 Cornelia,Yonkers,10792,New York,219 836 4111
89,Systemax,4933 Nelson,Seattle,98808,Washington,762 114 7615
90,The Pnc Financial Services Group,4376 Tahoma,Anaheim,92800,California,858 791 4971
91,Scana Corporation,2291 Mccrea,Plano,75213,Texas,425 855 9296
92,Pacer International,1617 Hermitage,Hartford,6110,Connecticut,408 297 5735
93,Simon Property Group,1479 Springfield,Fayetteville,72758,North Carolina,872 173 1086
94,Computer Sciences Corporation,402 Burnside,Birmingham,35029,Alabama,762 948 8982
95,Tenneco,4061 South Water Ramp,Anaheim,92846,California,240 362 2902
96,American Water,8190 Grove,Norfolk,23534,Virginia,248 509 8509
97,Ak Steel Corporation,5375 Menomonee,Seattle,98463,Washington,947 342 0847
98,Walgreen Co,955 Sawyer,Honolulu,96170,Hawaii,828 614 2745
99,Spartan Stores,2854 Orleans,Corpus Christi,78077,Texas,614 968 6106
100,Liberty Media Corporation,5937 South Water Sub,Lubbock,79241,Texas,325 206 6452
